English,Czech
heard,Heard
once,jednou
ready,připravený
head,hlava
called,volala
used,použitý
idea,nápad
knew,věděl
hold,držet
happy,šťastný
door,dveře
such,takový
fuck,souložit
brother,bratr
also,taky
pretty,pěkný
bit,bit
took,vzal
haven,útočiště
yet,dosud
men,muži
whole,Celý
start,Start
use,použití
while,zatímco
since,od té doby
wife,manželka
days,dny
guess,tipni si
tomorrow,zítra
matter,hmota
meet,setkat
bring,přinést
tonight,dnes večer
everyone,každý
run,běh
wanna,chtít
hard,tvrdý
ah,ah
alone,sama
myself,moje maličkost
school,škola
gone,pryč
um,um
end,konec
saying,rčení
phone,telefon
play,hrát si
looks,vzhled
couldn,Nemohl
fucking,zasraný
problem,problém
few,málo
friends,přátelé
gotta,musím
ago,před
open,otevřeno
anyone,kdokoliv
killed,zabít
hope,naděje
face,tvář
until,dokud
lost,ztracený
police,policie
excuse,výmluva
turn,otáčet se
business,obchodní
case,případ
wants,chce
says,říká
TRUE,SKUTEČNÝ
die,zemřít
heart,srdce
soon,již brzy
each,každý
worry,trápit se
later,později
year,rok
watch,hodinky
music,hudba
hand,ruka
having,mající
probably,pravděpodobně
beautiful,Krásná
doctor,doktor
sit,sedět
eat,jíst
thinking,myslící
young,Mladá
second,druhý
working,pracovní
water,voda
person,osoba
part,část
kids,děti
late,pozdě
stuff,věci
exactly,přesně tak
under,pod
death,smrt
minute,minuta
pay,platit
crazy,šílený
forget,zapomenout
everybody,všichni
kid,dítě
change,změna
gave,dal
happen,přihodit se
damn,sakra
five,Pět
drink,napít se
far,daleko
knows,ví
its,své
whatever,To je jedno
eyes,oči
shut,uzavírací
aren,jo
hit,udeřil
taking,odběr
easy,snadný
times,doba
check,šek
hands,ruce
minutes,minut
deal,obchod
different,odlišný
means,prostředek
point,směřovat
inside,uvnitř
makes,značky
asked,zeptal
somebody,někdo
mine,těžit
making,tvorba
body,tělo
afraid,bát
sleep,spát
chance,šance
dear,milý
quite,docela
four,čtyři
anyway,tak jako tak
close,zavřít
ain,ain
party,večírek
fun,zábava
against,proti
word,slovo
comes,přichází
important,Důležité
set,soubor
shall,musí
story,příběh
number,číslo
daughter,dcera
least,nejméně
waiting,čekání
hurt,zranit
wish,přát si
moment,okamžik
fight,prát se
week,týden
husband,manžel
girls,dívky
rest,zbytek
married,ženatý
fire,oheň
game,hra
nobody,nikdo
mr,pan
children,děti
side,postranní
stand,vydržet
read,číst
though,ačkoli
cut,střih
started,zahájena
sister,sestra
supposed,předpokládaný
between,mezi
child,dítě
goes,jde
hours,hodiny
speak,mluvit
women,ženy
behind,za
almost,téměř
truth,pravda
blood,krev
able,schopný
lady,dáma
anymore,už
playing,hrající
gets,dostane
shot,výstřel
reason,důvod
trouble,problémy
break,přestávka
war,válka
city,město
walk,Procházka
town,město
trust,důvěra
dr.,dr.
met,se setkal
office,kancelář
question,otázka
brought,přinesla
yours,tvůj
welcome,Vítejte
high,vysoký
wow,Wow
couple,pár
half,polovina
died,zemřel
cool,chladný
free,"volný, uvolnit"
either,buď
seems,zdá
power,Napájení
whoa,prr
bye,sbohem
buy,Koupit
telling,vyprávění
honey,Miláček
tried,zkoušel
front,přední
team,tým
answer,Odpovědět
gun,pistole
boys,chlapci
line,čára
send,poslat
news,zprávy
stupid,hloupý
bed,postel
hurry,pospěš si
full,úplný
months,měsíce
save,Uložit
sometimes,někdy
become,stát se
along,podél
hate,nenávist
food,jídlo
outside,mimo
light,světlo
l,l
needs,potřeby
dog,Pes
country,země
clear,Průhledná
order,objednat
em,em
fact,skutečnost
lord,pán
captain,kapitán
six,šest
hot,horký
funny,legrační
black,Černá
mrs.,paní.
alive,naživu
pick,výběr
feeling,pocit
living,živobytí
cause,způsobit
ahead,vpřed
lose,prohrát
king,král
plan,plán
dinner,večeře
sighs,vzdechy
sort,druh
leaving,opouštět
shouldn,Neměl
running,běh
boss,šéf
alright,v pořádku
promise,slib
taken,zaujatý
safe,bezpečný
ma,ma
book,rezervovat
sent,zaslána
white,bílý
hour,hodina
anybody,někdo
small,malý
perfect,perfektní
cause,způsobit
lives,životy
special,speciální
parents,rodiče
s,s
john,John
himself,sám
perhaps,možná
sounds,zvuky
serious,vážný
sick,nemocný
company,společnost
ha,hektar
scared,vyděšený
uncle,strýc
poor,chudý
red,Červené
past,minulý
earth,Země
possible,možný
shoot,střílet
touch,dotek
sound,zvuk
top,horní
ass,osel
laughs,Smích
cannot,nemůže
asking,ptá
win,vyhrát
glad,rád
control,řízení
hmm,hmm
human,člověk
drive,řídit
hair,vlasy
jack,zvedák
bitch,fena
luck,štěstí
murder,vražda
happens,se děje
air,vzduch
ten,deset
daddy,tatínek
finally,Konečně
chuckles,smích
fast,rychle
cold,Studený
seem,zdát se
laughing,smějící se
words,slova
hospital,nemocnice
street,ulice
hang,pověsit
dance,tanec
meeting,Setkání
till,až do
others,ostatní
catch,chytit
follow,následovat
sense,smysl
sex,sex
lie,lhát
evening,večer
master,mistr
known,známý
dream,sen
write,psát si
million,milión
voice,hlas
sweet,bonbón
rather,spíše
felt,cítil
sign,podepsat
lucky,šťastný
somewhere,někde
bet,sázka
o,Ó
jesus,Ježíš
longer,delší
calling,povolání
worked,pracoval
quiet,klid
looked,podíval se
less,méně
pull,sem
beat,porazit
careful,opatrný
coffee,káva
return,vrátit se
secret,tajný
weeks,týdny
weren,nebyli
date,datum
seeing,vidění
fall,podzim
given,daný
ooh,ooh
fault,chyba
straight,rovný
takes,bere
song,píseň
future,budoucnost
gentlemen,Pánové
loved,miloval
changed,změněn
road,silnice
calm,uklidnit
wonderful,Báječné
mad,šílený
turned,obrátil
drop,upustit
ladies,dámy
learn,Učit se
step,krok
absolutely,Absolutně
early,brzy
explain,vysvětlit
clean,čistý
piece,kus
yesterday,včera
throw,házet
picture,obrázek
land,přistát
feet,chodidla
wonder,divit se
questions,otázky
speaking,mluvení
worth,hodnota
darling,zlatíčko moje
dude,kámo
giving,dávat
president,prezident
eye,oko
quick,rychlý
moving,pohyblivý
figure,postava
state,Stát
strong,silný
sam,sam
none,žádný
amazing,úžasný
ones,ones
works,práce
act,akt
needed,potřeboval
weird,podivný
law,zákon
worried,ustaraný
report,zpráva
goodbye,Ahoj
missing,chybějící
choice,výběr
happening,happening
chief,hlavní
wedding,svatba
strange,podivný
general,Všeobecné
pain,bolest
am,dopoledne
kidding,dělat si srandu
decided,rozhodl
ya,ya
pass,složit
tired,unavený
class,třída
officer,důstojník
kept,uchovávány
wake,probudit
worse,horší
busy,zaneprázdněný
eh,co
mistake,chyba
kiss,pusa
court,soud
building,budova
finish,Dokončit
during,po dobu
age,stáří
ship,loď
caught,chycen
marry,vdávat se
meant,znamenalo
sell,prodat
dark,temný
watching,sledování
system,Systém
suppose,předpokládat
evidence,důkaz
movie,film
ride,jízda
t,T
completely,zcela
mouth,pusa
totally,naprosto
birthday,narozeniny
tv,televize
forgive,odpustit
born,narozený
imagine,představit si
information,informace
instead,namísto
definitely,rozhodně
security,bezpečnostní
certainly,rozhodně
film,film
month,Měsíc
lying,ležící
unless,ledaže
train,vlak
seven,sedm
wear,mít na sobě
clothes,oblečení
michael,Michal
hotel,hotel
christmas,Vánoce
attack,Záchvat
hasn,Hasn
round,kolo
expect,očekávat
sing,zpívat
terrible,hrozný
george,Jiří
bag,Taška
history,Dějiny
blue,modrý
near,u
broke,rozbil
station,stanice
seriously,vážně
forever,navždy
david,david
frank,upřímný
except,až na
thinks,myslí si
message,zpráva
entire,celý
joe,joe
table,stůl
talked,mluvili
across,přes
rock,Skála
lovely,půvabný
handle,Rukojeť
middle,střední
buddy,kamarád
paid,zaplatil
protect,chránit
using,použitím
floor,podlaha
ran,běžel
swear,přísahat
spend,strávit
situation,situace
ring,prsten
anywhere,kdekoli
dangerous,nebezpečný
bill,účtovat
york,york
army,armáda
lead,Vést
bought,koupil
finished,hotový
fair,veletrh
sun,slunce
letter,dopis
fool,blázen
attention,Pozornost
club,klub
simple,jednoduchý
interesting,zajímavý
space,prostor
test,test
box,krabice
group,skupina
single,singl
sitting,sedící
marriage,manželství
join,připojit
fear,strach
d,d
peace,mír
forgot,zapomněl
force,platnost
short,krátký
normal,normální
charlie,Kája
present,"současnost, dárek"
enjoy,užívat si
mike,Mike
crime,zločin
horse,kůň
ground,přízemní
american,americký
count,počet
area,plocha
charge,nabít
honor,čest
lunch,oběd
miles,míle
radio,rádio
idiot,idiot
ball,míč
surprise,překvapení
paper,papír
key,klíč
boat,loď
quickly,rychle
gold,zlato
bar,bar
fish,Ryba
mark,označit
tom,Tomáš
wearing,nošení
crying,pláč
accident,nehoda
government,vláda
eight,osm
fell,klesl
cover,Pokrýt
certain,určitý
interested,zájem
deep,hluboký
star,hvězda
sea,moře
agree,souhlasit
problems,problémy
detective,detektivní
prison,vězení
major,"hlavní, důležitý"
stick,lepit
offer,nabídka
difficult,obtížný
smart,chytrý
personal,osobní
record,záznam
stopped,zastavil
hide,skrýt
whether,zda
bank,banka
trip,výlet
relax,odpočinout si
america,Amerika
public,veřejnost
list,seznam
afternoon,odpoledne
brain,mozek
fix,opravit
bastard,bastard
proud,hrdý
tea,čaj
service,servis
screaming,ječící
forward,vpřed
angry,rozzlobený
park,park
soul,duše
fighting,bojování
peter,Petr
rich,bohatý
agent,činidlo
blow,foukat
paul,Pavel
dress,šaty
mary,mary
missed,vynechal
scene,scéna
killing,zabíjení
standing,stojící
saved,uložené
mm,mm
respect,úcta
killer,zabiják
ice,led
mess,nepořádek
tough,houževnatý
feels,cítí
church,kostel
sad,smutný
cell,buňka
drunk,opilý
share,podíl
camera,Fotoaparát
mm-hmm,mm-Hm
within,v rámci
card,Kartu
fly,létat
ben,ben
girlfriend,přítelkyně
laugh,smích
smell,čich
broken,zlomený
mum,maminka
honest,upřímný
often,často
starting,začíná
calls,volá
y,y
spent,strávil
third,Třetí
english,Angličtina
visit,návštěva
mama,maminka
judge,soudce
window,okno
hungry,hladový
dare,odvážit se
relationship,vztah
moved,přestěhoval
prove,dokázat
private,soukromý
wall,zeď
seat,sedadlo
i-i,i-i
position,pozice
lieutenant,poručík
realize,realizovat
lt,lt
especially,zvláště
machine,stroj
walking,chůze
art,umění
pleasure,potěšení
bloody,krvavý
college,vysoká škola
french,francouzština
involved,zapojeni
cry,plakat
became,stalo se
lived,žil
impossible,nemožné
obviously,očividně
neither,ani
accept,akceptovat
boyfriend,přítel
besides,kromě
queen,královna
teacher,učitel
cops,policisté
sake,saké
loves,miluje
carry,nést
teach,učit
apartment,byt
upset,naštvaný
green,zelená
la,Los Angeles
liked,líbilo
cute,roztomilý
evil,zlo
professor,profesor
contact,Kontakt
joke,žert
cop,policajt
huge,obrovský
holy,svatý
store,ukládat
jail,vězení
likes,záliby
lawyer,právník
doubt,pochybovat
continue,pokračovat
appreciate,cenit si
cat,kočka
shop,prodejna
driving,řidičský
congratulations,Gratulujeme
wrote,napsal
village,vesnice
quit,přestat
field,pole
james,James
wine,víno
decision,rozhodnutí
south,jižní
sleeping,Spící
slow,pomalý
laughter,smích
island,ostrov
glass,sklenka
beginning,začátek
cash,hotovost
dying,umírající
hundred,sto
whose,jehož
difference,rozdíl
plane,letadlo
push,tam
continues,pokračuje
mmm,mmm
singing,zpěv
eating,jíst
north,severní
mrs,paní
tree,strom
madam,paní
gift,dar
truck,nákladní auto
putting,uvedení
bear,medvěd
board,prkno
grab,urvat
beer,pivo
stuck,uvízl
magic,kouzlo
support,"Podpěra, podpora"
rules,pravidla
grunts,zavrčí
partner,partner
reach,dosáhnout
wind,vítr
colonel,plukovník
max,max
immediately,ihned
seconds,sekundy
thousand,tisíc
gives,poskytuje
experience,Zkušenosti
cheers,Na zdraví
victim,oběť
upon,na
computer,počítač
christ,Kristus
planet,planeta
promised,slíbil
bus,autobus
henry,Jindřich
dirty,špinavý
search,Vyhledávání
staying,pobývá
dreams,sny
arrest,zatknout
holding,podíl
suddenly,Najednou
usually,obvykle
lots,spousty
shoes,obuv
er,er
jump,skok
rid,zbavit
yo,yo
knock,klepání
owe,dlužit
harry,pustošit
grow,růst
worst,nejhorší
river,řeka
aunt,teta
patient,trpěliví
kitchen,kuchyně
aah,aah
fat,Tlustý
passed,předán
m,m
final,finále
summer,léto
bob,bob
listening,Naslouchání
escape,uniknout
everywhere,všude
moon,měsíc
arms,zbraně
turns,zatáčky
address,adresa
ow,ow
match,zápas
gasps,vzdechy
grand,velký
yep,ano
shh,pst
nervous,nervový
de,de
choose,Vybrat
themselves,oni sami
decide,rozhodni se
mate,kamarád
drinking,pití
press,lis
bother,obtěžovat
foot,chodidlo
hadn,hadn
blame,obviňovat
crap,blbost
drugs,léky
type,typ
rings,kroužky
mission,mise
named,pojmenovaný
heaven,nebe
ii,ii
picked,vyzvednout
paris,Paříž
race,závod
risk,riziko
books,knihy
further,dále
danny,Danny
action,akce
allowed,povolený
orders,objednávky
learned,naučil se
price,cena
arrived,přišel
nick,nick
otherwise,v opačném případě
pictures,fotografie
fit,vejít se
smoke,kouř
favor,laskavost
played,hrála
notice,oznámení
awesome,úžasný
smile,úsměv
director,ředitel
guard,hlídat
begin,začít
spot,bod
surprised,překvapený
innocent,nevinný
narrator,vyprávěč
herself,sebe
london,Londýn
feelings,pocity
enemy,nepřítel
battle,bitva
ourselves,sebe
alex,Alex
dollars,dolarů
allow,dovolit
nine,devět
gay,homosexuál
department,oddělení
guilty,vinný
apart,odděleně
earlier,dříve
duty,povinnost
jim,jim
suit,oblek
bell,zvonek
west,Západ
legs,nohy
hero,hrdina
destroy,zničit
stage,etapa
bunch,chomáč
according,podle
chicken,kuře
bigger,větší
grunting,chrochtání
low,nízký
helping,pomáhání
admit,připustit
closed,Zavřeno
names,jména
witness,svědek
upstairs,nahoru po schodech
arm,paže
steal,ukrást
jimmy,paklíč
kick,kop
twice,dvakrát
cross,přejít
ways,způsoby
sergeant,seržant
indeed,Vskutku
gas,plyn
keeping,vedení
energy,energie
pregnant,těhotná
waste,odpad
helped,pomáhala
fired,vypaloval
favorite,oblíbený
tony,tony
taste,chuť
locked,zamčený
places,místa
writing,psaní
adam,adam
brothers,bratři
starts,začíná
prince,princ
form,formulář
sold,prodávány
silly,hloupý
mention,zmínit se
build,stavět
throat,hrdlo
hole,otvor
figured,Figurální
track,dráha
ringing,zvonící
lock,zámek
leg,noha
above,výše
hiding,úkryt
steve,steve
seemed,zdálo
breakfast,snídaně
engine,motor
written,psaný
complete,kompletní
video,video
applause,potlesk
however,nicméně
pressure,tlak
fresh,čerstvý
weapon,zbraň
sky,nebe
ms.,slečna.
stole,ukradl
study,studie
burn,hořet
reading,čtení
crowd,dav
treat,zacházet
roll,válec
double,dvojnásobek
spirit,duch
danger,nebezpečí
cost,náklady
empty,prázdný
level,úroveň
memory,Paměť
itself,sám
acting,herectví
interest,zájem
nose,nos
plans,plány
following,Následující
bathroom,koupelna
built,postavený
closer,blíž
ray,paprsek
sarah,sarah
band,kapela
groans,sténá
apparently,podle všeho
excited,vzrušený
richard,richard
losing,ztrácí
animals,zvěř
flight,let
nature,Příroda
raise,vyzdvihnout
pop,pop
client,zákazník
bomb,bombardovat
neck,krk
suspect,tušit
warm,teplý
extra,další
bottle,láhev
van,dodávka
heavy,těžký
mommy,máma
dogs,psi
wild,divoký
ridiculous,směšný
simply,jednoduše
lee,závětří
animal,zvíře
showed,ukázal
billy,táborový kotlík
shooting,Střílení
keeps,udržuje
camp,tábor
guns,zbraně
medical,lékařský
shame,ostuda
hoping,"doufat,"
whom,koho
bird,pták
majesty,majestát
flowers,květiny
famous,slavný
asleep,spící
beauty,krása
driver,Řidič
keys,klávesy
rain,déšť
awful,děsný
large,velký
local,místní
deserve,zasloužit si
goddamn,zatraceně
stone,kámen
jane,Jane
grace,milost
consider,zvážit
weekend,víkend
wondering,přemýšlel
lay,položit
plenty,spousta
willing,ochotný
pants,kalhoty
sweetheart,miláček
skin,kůže
excellent,vynikající
asshole,kretén
beach,pláž
c,C
faith,víra
beg,žebrat
fuckin,fuckin
responsible,odpovědný
military,válečný
cheering,povzbuzování
opportunity,příležitost
common,běžný
bottom,dno
german,Němec
whoever,kdokoli
cook,kuchař
walked,přistoupil
papers,doklady
justice,spravedlnost
hall,hala
commander,velitel
drug,lék
main,hlavní
knife,nůž
devil,ďábel
necessary,potřebný
although,Ačkoli
princess,princezna
lights,světla
flying,létající
dick,čurák
rose,růže
knowing,vědomím
clearly,jasně
hat,čepice
agreed,dohodnuto
johnny,johnny
corner,roh
code,kód
note,Poznámka
tommy,Tommy
due,z důvodu
correct,opravit
apologize,omlouvat se
language,Jazyk
stars,hvězdy
faster,rychleji
cars,cars
folks,lidičky
bullshit,hovadina
i.,i.
fellow,chlapík
several,několik
grandma,babička
shows,pořady
leader,vůdce
leaves,listy
restaurant,restaurace
east,východní
shouting,křik
blind,slepý
ghost,duch
cup,pohár
gotten,dostat
tight,těsný
conversation,konverzace
tells,vypráví
lies,lži
nor,ani
pulled,přitáhl
hanging,závěsný
speed,Rychlost
stories,příběhy
health,zdraví
advice,Rada
held,držený
uh-huh,Hm
murdered,zavražděný
beyond,mimo
rule,pravidlo
hardly,stěží
possibly,možná
inspector,inspektor
cousin,bratranec
trial,pokus
emergency,nouzový
ought,měl
eddie,eddie
somehow,Nějak
hearing,sluch
states,stavy
account,účet
spoke,paprsků
file,soubor
understood,chápat
angel,anděl
tape,páska
milk,mléko
powerful,silný
weapons,zbraně
practice,praxe
manager,manažer
pardon,Pardon
vote,hlasování
jake,jake
national,národní
career,kariéra
minister,ministr
super,super
taught,učil
robert,robert
biggest,největší
plays,hry
natural,přírodní
dancing,taneční
copy,kopírovat
plus,Plus
martin,Martin
cake,dort
freedom,svoboda
among,mezi
breath,dech
operation,úkon
chris,Chris
crew,osádka
challenge,výzva
market,trh
meat,maso
towards,vůči
bringing,přinášet
dropped,upustil
student,student
lied,lhal
strength,síla
size,velikost
breathe,dýchat
color,barva
monster,netvor
loud,hlasitý
photo,fotografie
aw,aw
nearly,téměř
sight,pohled
greatest,největší
games,hry
bridge,most
dressed,oblečený
arrested,zadržen
horrible,hrozný
coach,trenér
planning,plánování
checked,kontrolovány
breaking,rozbíjení
noticed,všiml
fantastic,fantastický
screams,křik
serve,sloužit
ideas,nápady
investigation,vyšetřování
center,centrum
older,starší
pack,balíček
soldiers,vojáci
nonsense,nesmysl
doc,doc
project,projekt
training,výcvik
example,příklad
trick,trik
prepared,připravený
science,Věda
united,sjednocený
travel,cestovat
incredible,neuvěřitelný
grandpa,dědeček
paying,placení
character,charakter
teeth,zuby
criminal,zločinec
charles,Charles
chinese,čínština
truly,opravdu
honestly,upřímně řečeno
bro,bro
survive,přežít
bobby,polda
target,cílová
feed,krmit
nurse,zdravotní sestřička
e,E
fake,falešný
records,evidence
breathing,dýchání
sweetie,miláček
numbers,čísla
oil,olej
suicide,sebevražda
belong,patřit
whoo,pokřikování
perfectly,dokonale
amy,amy
forgotten,zapomenutý
remain,zůstat
original,originál
papa,tatínek
onto,na
concerned,znepokojený
credit,kredit
ugh,fuj
invited,pozván
discuss,prodiskutovat
research,výzkum
easier,snazší
view,Pohled
chair,židle
hurts,bolí
strike,stávkovat
roger,roger
fill,vyplnit
condition,stav
mountain,hora
dr,dr
nowhere,nikde
sheriff,šerif
kim,kim
turning,otáčení
brown,hnědý
recognize,uznat
heads,hlava
audience,publikum
all,Všechno
jealous,žárlivý
pretend,předstírat
society,společnost
finding,nález
shirt,košile
comfortable,komfortní
meaning,význam
guest,host
pieces,kousky
dry,suchý
letting,pouštění
began,začal
aye,ano
jeff,jeff
female,ženský
release,uvolnění
ho,ho
cards,karty
pray,modlit se
unfortunately,bohužel
balls,míče
destroyed,zničený
ended,skončila
universe,vesmír
prepare,připravit
opinion,názor
movies,filmy
soldier,voják
wash,umýt
program,program
heat,teplo
usual,obvyklý
ticket,lístek
stolen,ukradený
prefer,raději
aware,vědom
surely,jistě
male,mužský
base,základna
matters,záležitosti
lift,výtah
lab,laboratoř
command,příkaz
proof,důkaz
cream,krém
selling,prodejní
believed,předpokládá
create,vytvořit
h,hod
afford,si dovolit
sunday,Neděle
total,celkový
dumb,němý
threw,hodil
france,Francie
birth,narození
created,vytvořil
realized,uvědomil
british,britský
noise,hluk
nuts,ořechy
students,studentů
birds,ptactvo
social,sociální
brilliant,brilantní
bodies,orgány
tie,kravata
opened,otevřeno
ours,naše
bucks,dolarů
kevin,kevin
mister,pan
ugly,škaredý
ryan,Ryan
focus,soustředit se
dan,bóje
opens,otevírá
exist,existovat
followed,následoval
england,Anglie
draw,kreslit
purpose,účel
letters,písmena
daniel,daniel
opening,otevírací
bullet,kulka
anna,anna
lately,nedávno
stayed,zůstala
falling,padající
season,sezóna
ends,konce
suggest,navrhnout
joy,radost
distance,vzdálenost
responsibility,odpovědnost
whenever,kdykoli
issue,problém
thousands,tisíce
process,proces
sword,meč
shower,sprcha
weak,slabý
fucked,prdeli
lonely,osamělý
happiness,štěstí
eric,Eric
tiny,drobný
desk,lavice
pool,bazén
property,vlastnictví
forced,vynucený
settle,usadit
indistinct,nejasný
weight,hmotnost
received,obdržené
gang,gang
bite,kousat
friday,pátek
disappeared,zmizel
interview,rozhovor
expecting,čeká
kinda,trochu
surgery,chirurgická operace
horses,koně
mayor,starosta
babe,kotě
ancient,starověký
handsome,hezký
thomas,Tomáš
saturday,sobota
staff,personál
lines,čáry
unit,jednotka
fan,fanoušek
gentleman,gentleman
introduce,představit
fate,osud
split,rozdělit
recently,nedávno
expected,očekávaný
add,přidat
ordered,objednaný
slowly,pomalu
alarm,poplach
member,člen
slept,spal
signed,podepsaný
enter,vstoupit
spanish,španělština
garden,zahrada
brings,přináší
brave,statečný
pig,prase
model,Modelka
finger,prst
medicine,lék
access,přístup
failed,neúspěšný
flat,byt
easily,snadno
discovered,objevil
based,na základě
screw,šroub
insane,šílený
cares,stará se
weather,počasí
fingers,prsty
san,san
scott,scott
path,cesta
soft,měkký
harm,poškodit
style,styl
community,společenství
sees,vidí
basically,v podstatě
al,al
signal,signál
nope,ani náhodou
spare,náhradní
speech,mluvený projev
covered,pokrytý
shake,otřást
loose,volný
snow,sníh
russian,ruština
lake,jezero
bright,Jasný
roof,střecha
ohh,ohh
sending,odeslání
paint,malovat
remind,připomenout
pal,kamarád
naked,nahý
post,pošta
sugar,cukr
heading,nadpis
streets,ulicích
damage,poškození
silence,umlčet
doors,dveře
pete,pete
ed,ed
success,úspěch
wet,mokrý
nah,nah
amount,množství
members,členové
kate,kate
manage,spravovat
safety,bezpečnost
returned,vrátil
harder,těžší
fbi,fBI
block,blok
showing,zobrazeno
fancy,ozdobný
chef,šéfkuchař
contract,smlouva
dig,kopat
chest,hruď
good-bye,Ahoj
drinks,nápoje
dave,dave
buried,pohřben
brian,Brian
trade,obchod
journey,cesta
stomach,žaludek
changes,Změny
details,podrobnosti
thoughts,myšlenky
divorce,rozvod
funeral,pohřeb
maria,maria
football,Fotbal
reality,realita
theory,teorie
gosh,sakra
ruined,zničený
gate,brána
william,William
spread,šíření
outta,z
japanese,japonský
sudden,náhlý
coat,kabát
sooner,dříve
cheese,sýr
larry,larry
spring,jaro
page,strana
ears,uši
simon,Simon
castle,hrad
hidden,skrytý
storm,bouřka
cos,cos
personally,osobně
artist,umělec
hill,kopec
exciting,vzrušující
permission,povolení
jerry,jerry
expensive,drahý
tickets,lístky
forest,les
barely,sotva
eggs,vajíčka
goin,vstoupit
regret,litovat
lesson,lekce
lover,milenec
bread,chléb
andy,Andy
subject,předmět
legal,právní
growing,rostoucí
ill,nemocný
jason,Jason
mood,nálada
owner,majitel
caused,způsoben
beeping,pípání
points,body
dating,chodit s někým
loss,ztráta
secretary,tajemník
revenge,pomsta
santa,santa
likely,pravděpodobně
rent,pronajmout si
connection,spojení
assistant,asistent
reasons,důvody
yelling,křičí
painting,malování
trees,stromy
doctors,lékaři
rush,spěch
foreign,"zahraniční, cizí"
rough,hrubý
murderer,vrah
century,století
nights,nocí
pair,pár
runs,běhy
pocket,kapsa
farm,farma
matt,matt
bike,kolo
obvious,zřejmý
ate,jedl
grew,rostl
professional,profesionální
tim,tim
goodness,dobrota
parts,díly
alan,alan
university,univerzita
square,náměstí
grandfather,dědeček
europe,Evropa
genius,génius
cases,případy
ruin,zřícenina
winter,zima
tongue,jazyk
memories,vzpomínky
da,da
